window,f1,auc
5,0.27251779404987453,0.8831835449635802
10,0.26808979755462015,0.8734438782306767
15,0.26778368616434234,0.8820020502883859
30,0.2734754383274549,0.8853486115020516
45,0.271804244085694,0.8790424518152803
60,0.2761658031088083,0.8800609496105155
